tema,indicador,anio,sexo,disc,entidad,rango_edad,tipo_discapacidad,num,den,casos,fuente,universo,encuesta
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,30-44,Oír,0.0,731.0,2.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,30-44,Recordar o concentrarse,636.0,1583.0,6.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,30-44,Ver,189.0,1941.0,7.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,45-59,Bañarse o vestirse,221.0,1276.0,5.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,45-59,Brazos o manos,434.0,4522.0,16.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,45-59,Caminar,221.0,9950.0,32.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,45-59,Hablar o comunicarse,0.0,231.0,1.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,45-59,Mental,0.0,1157.0,4.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,45-59,Oír,0.0,3796.0,12.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,45-59,Recordar o concentrarse,0.0,3226.0,10.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,45-59,Ver,255.0,5950.0,21.0,ENIGH (INEGI),Personas de 18 años o más,enigh
apoyos,Recibe la beca de discapacidad,2020,Mujeres,Con discapacidad,San Luis Potosí,60+,Bañarse o vestirse,246.0,12551.0,40.0,ENIGH (INEGI),Personas de 18 años o más,enigh
