tema,indicador,anio,sexo,disc,entidad,rango_edad,tipo_discapacidad,num,den,casos,ee,fuente,universo,encuesta
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,60+,Mental,691.0,4753.0,16.0,0.008186931776829,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,60+,Oír,3203.0,8324.0,43.0,0.099290416265251,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,60+,Recordar o concentrarse,1909.0,4836.0,28.0,0.1141611742236278,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California,60+,Ver,4244.0,15036.0,70.0,0.0920731444511317,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,18-29,Bañarse o vestirse,0.0,22.0,1.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,18-29,Brazos o manos,149.0,171.0,2.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,18-29,Caminar,173.0,323.0,3.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,18-29,Hablar o comunicarse,0.0,299.0,4.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,18-29,Mental,443.0,658.0,6.0,0.0276258534196838,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,18-29,Oír,139.0,559.0,6.0,0.0053379245458123,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,18-29,Recordar o concentrarse,288.0,527.0,5.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,18-29,Ver,628.0,982.0,10.0,0.0314332208364218,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,30-44,Bañarse o vestirse,96.0,282.0,3.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,30-44,Brazos o manos,86.0,227.0,4.0,0.0066758524326107,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,30-44,Caminar,309.0,1171.0,17.0,0.0474168362459422,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,30-44,Hablar o comunicarse,234.0,443.0,6.0,0.0023847255272638,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,30-44,Mental,265.0,716.0,9.0,0.2026767231848507,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,30-44,Oír,252.0,399.0,3.0,0.3601108033240997,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,30-44,Recordar o concentrarse,269.0,651.0,9.0,0.1821530220231086,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,30-44,Ver,127.0,615.0,9.0,0.0087022265889809,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,45-59,Bañarse o vestirse,135.0,742.0,8.0,0.1842064529233657,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,45-59,Brazos o manos,37.0,1043.0,11.0,0.0355192236353719,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,45-59,Caminar,841.0,2535.0,26.0,0.1054051193202971,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,45-59,Hablar o comunicarse,0.0,486.0,5.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,45-59,Mental,0.0,345.0,4.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,45-59,Oír,193.0,1471.0,15.0,0.0144393802366722,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,45-59,Recordar o concentrarse,0.0,668.0,8.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,45-59,Ver,879.0,2251.0,25.0,0.1003674954552627,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,60+,Bañarse o vestirse,315.0,2505.0,29.0,0.0780340380136054,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,60+,Brazos o manos,361.0,1949.0,26.0,0.0830029403877782,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,60+,Caminar,1258.0,6534.0,80.0,0.0535503165958334,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,60+,Hablar o comunicarse,117.0,1044.0,15.0,0.1128605183993865,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,60+,Mental,315.0,1483.0,19.0,0.0862292033650804,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,60+,Oír,686.0,2830.0,31.0,0.0862453290611459,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,60+,Recordar o concentrarse,462.0,2162.0,26.0,0.0803154094304817,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Baja California Sur,60+,Ver,1086.0,5385.0,57.0,0.0577974896104793,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Campeche,18-29,Bañarse o vestirse,0.0,248.0,2.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Campeche,18-29,Brazos o manos,0.0,215.0,2.0,,ENIGH (INEGI),Personas de 18 años o más,enigh
educacion,Educación media superior o más,2020,Hombres,Con discapacidad,Campeche,18-29,Caminar,211.0,867.0,7.0,0.0036491155251706,ENIGH (INEGI),Personas de 18 años o más,enigh
